"term_name","p_value","intersection_size","term_size"
"PPAR signaling pathway",0.00266658448010032,4,66
"Response to metal ions",0.0037529282222454,2,2
"Metallothioneins bind metals",0.0037529282222454,2,2
"Neuroactive ligand-receptor interaction",0.00429313970265626,7,340
"Retinol metabolism",0.0107453445464841,2,27
"stress response to copper ion",0.041637116710851,2,3
"lipoprotein particle mediated signaling",0.041637116710851,2,3
"low-density lipoprotein particle mediated signaling",0.041637116710851,2,3
"detoxification of copper ion",0.041637116710851,2,3
